                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94459,                 2.4523,                 1.0107,                      1,                0.25489,                0.77295,                0.54831,                0.90277,                 3.1315,                0.94707,                0.00038,                0.00038,                0.00038
                      2,                0.99241,                 1.4278,                 1.0574,                0.80939,                0.15617,                0.39919,                0.21796,                 1.0054,                  3.174,                 1.0766,             0.00075587,             0.00075587,             0.00075587
                      3,                0.96458,                 1.2926,                  1.053,                0.92847,                 0.1909,                0.53563,                0.35959,                 1.0692,                 2.9137,                 1.1144,               0.001107,               0.001107,               0.001107
                      4,                0.92759,                  1.152,                 1.0217,                0.45902,                0.45588,                0.40622,                0.25582,                 1.1314,                  2.584,                 1.1732,              0.0014334,              0.0014334,              0.0014334
                      5,                0.98491,                 1.1689,                 1.0664,                 0.4003,                0.32353,                0.30036,                0.22005,                 1.1136,                 2.7935,                 1.3083,               0.001735,               0.001735,               0.001735
                      6,                0.98503,                 1.1672,                 1.0764,                0.90399,                0.76155,                0.85045,                0.64567,                  1.043,                 1.6263,                 1.1988,              0.0016906,              0.0016906,              0.0016906
                      7,                0.97883,                 1.0475,                 1.0668,                0.82995,                0.80147,                0.84267,                0.59819,                 1.0572,                 1.3764,                 1.1629,              0.0016906,              0.0016906,              0.0016906
                      8,                0.92376,                0.98266,                 1.0405,                0.86111,                0.86621,                 0.8988,                0.65357,                0.94839,                  1.351,                 1.0683,              0.0016287,              0.0016287,              0.0016287
                      9,                0.94257,                0.96988,                 1.0761,                0.85798,                0.83824,                0.85331,                 0.6245,                0.94483,                 1.4732,                 1.1471,              0.0015669,              0.0015669,              0.0015669
                     10,                0.90065,                0.85573,                 1.0297,                 0.9469,                0.78667,                0.87942,                 0.6424,                 1.0669,                 1.2148,                 1.1794,               0.001505,               0.001505,               0.001505
                     11,                0.92271,                0.86421,                 1.0523,                0.95292,                0.80147,                0.91476,                0.67283,                 1.0172,                0.99183,                 1.1289,              0.0014431,              0.0014431,              0.0014431
                     12,                 0.8354,                0.76608,                0.99874,                0.93703,                0.88235,                0.94049,                0.71733,                0.89984,                  0.895,                 1.0529,              0.0013813,              0.0013813,              0.0013813
                     13,                0.85407,                0.77571,                 1.0009,                0.95793,                 0.8372,                  0.938,                0.71904,                0.89277,                0.86958,                 1.0499,              0.0013194,              0.0013194,              0.0013194
                     14,                0.82322,                0.74357,                 1.0057,                0.97384,                0.82116,                0.94312,                0.71152,                0.91613,                0.84501,                 1.0628,              0.0012575,              0.0012575,              0.0012575
                     15,                0.84798,                0.73647,                 1.0258,                0.94602,                0.86765,                0.92812,                0.72681,                0.85926,                0.84121,                 1.0184,              0.0011956,              0.0011956,              0.0011956
                     16,                0.82259,                0.69428,                 1.0005,                0.96518,                0.88235,                0.94851,                0.73541,                0.80094,                0.78879,                0.99562,              0.0011337,              0.0011337,              0.0011337
                     17,                  0.805,                0.65408,                0.97832,                0.95952,                 0.8715,                0.94875,                 0.7245,                0.87259,                0.73478,                 1.0365,              0.0010719,              0.0010719,              0.0010719
                     18,                0.79028,                0.65457,                0.99509,                0.97524,                  0.875,                0.94766,                0.72667,                0.88147,                0.69892,                 1.0472,                0.00101,                0.00101,                0.00101
                     19,                0.77206,                0.60898,                0.97894,                0.95168,                0.86898,                0.94974,                0.73369,                0.85138,                0.69643,                 1.0232,             0.00094812,             0.00094812,             0.00094812
                     20,                0.74627,                0.60648,                0.96655,                0.98918,                0.84559,                0.95379,                0.75209,                0.83208,                0.69955,                 1.0077,             0.00088625,             0.00088625,             0.00088625
                     21,                0.79046,                0.63298,                0.99749,                 0.9443,                0.90441,                0.96711,                0.76452,                0.80205,                0.66642,                 1.0083,             0.00082438,             0.00082438,             0.00082438
                     22,                0.77054,                0.60259,                0.98095,                0.90333,                 0.8932,                0.96141,                0.74847,                0.80616,                0.68408,                0.98736,              0.0007625,              0.0007625,              0.0007625
                     23,                0.68077,                0.56193,                0.93314,                0.93478,                0.91176,                0.96959,                 0.7683,                0.82806,                0.64307,                0.99355,             0.00070063,             0.00070063,             0.00070063
                     24,                0.69332,                0.54258,                0.93188,                0.95712,                0.91912,                0.97758,                0.77656,                0.81255,                0.60745,                0.99149,             0.00063875,             0.00063875,             0.00063875
                     25,                0.67114,                0.51142,                0.93295,                0.97677,                0.91912,                0.97852,                0.78219,                0.80688,                0.58236,                 0.9945,             0.00057688,             0.00057688,             0.00057688
                     26,                0.66773,                0.49996,                0.93113,                0.93243,                0.93382,                0.97799,                0.79934,                0.76234,                0.56445,                 0.9659,               0.000515,               0.000515,               0.000515
                     27,                0.65143,                 0.4822,                0.90831,                0.96893,                 0.9172,                0.97566,                0.78403,                0.73966,                0.54851,                0.95529,             0.00045313,             0.00045313,             0.00045313
                     28,                0.61484,                0.46386,                0.91091,                0.94754,                0.92647,                0.96553,                0.78167,                0.75396,                0.56368,                0.96564,             0.00039125,             0.00039125,             0.00039125
                     29,                0.61922,                0.44742,                0.89468,                0.95646,                0.92647,                0.96766,                0.79554,                0.73463,                0.55648,                0.95368,             0.00032938,             0.00032938,             0.00032938
                     30,                0.62152,                0.45608,                0.90111,                0.92082,                0.94056,                0.96777,                0.79745,                 0.7431,                0.54564,                0.95843,              0.0002675,              0.0002675,              0.0002675
                     31,                0.62889,                0.44851,                0.90382,                0.94933,                0.91912,                0.96792,                0.79648,                0.74192,                0.52071,                0.95643,             0.00020562,             0.00020562,             0.00020562
                     32,                0.61818,                0.43592,                0.90431,                0.96829,                0.89825,                0.96673,                0.78926,                0.74393,                0.52278,                0.95868,             0.00014375,             0.00014375,             0.00014375
